Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,BOS,,NYK,"W, 132-109",24:58,10,1,9,0,0,1,3,4,4,3,11,7,7,8,payton
2024-10-24,BOS,@,WAS,"W, 122-102",27:57,11,5,10,0,0,0,1,1,2,15,18,17,16,3,payton
2024-10-26,BOS,@,DET,"W, 124-118",19:17,8,5,7,4,4,0,2,2,0,19,21,19,21,2,payton
2024-10-28,BOS,,MIL,"W, 119-108",27:41,14,8,12,0,0,2,3,5,3,28,36,31,33,8,payton
2024-10-30,BOS,@,IND,"L, 132-135 (OT)",38:34,14,4,11,2,2,2,2,4,4,16,24,20,20,8,payton
2024-11-01,BOS,@,CHO,"W, 124-109",27:50,6,0,5,5,6,0,2,2,3,7,12,10,9,5,payton
2024-11-02,BOS,@,CHO,"W, 113-103",29:06,15,6,12,0,0,1,2,3,2,22,27,24,25,5,payton
2024-11-04,BOS,@,ATL,"W, 123-93",25:29,12,3,8,1,1,0,3,3,4,18,25,22,21,7,payton
2024-11-06,BOS,,GSW,"L, 112-118",32:10,13,3,11,3,3,2,1,3,3,16,22,19,19,6,payton
2024-11-08,BOS,,BRK,"W, 108-104 (OT)",33:38,11,3,7,5,5,0,1,1,0,20,21,20,21,1,payton
2024-11-10,BOS,@,MIL,"W, 113-107",22:50,10,5,8,1,1,1,0,1,3,18,22,21,19,4,payton
2024-11-12,BOS,,ATL,"L, 116-117",25:17,8,2,8,0,0,0,1,1,2,6,9,8,7,3,payton
2024-11-13,BOS,@,BRK,"W, 139-114",36:13,13,5,9,2,4,2,4,6,8,23,37,31,29,14,payton
2024-11-16,BOS,,TOR,"W, 126-123 (OT)",23:53,8,2,7,0,0,0,0,0,1,6,7,7,6,1,payton
2024-11-19,BOS,,CLE,"W, 120-117",25:43,9,3,6,0,0,1,1,2,3,13,18,16,15,5,payton
2024-11-22,BOS,@,WAS,"W, 108-96",22:33,6,1,3,2,3,1,1,2,4,9,15,13,11,6,payton
2024-11-24,BOS,,MIN,"W, 107-105",22:21,7,1,5,1,1,1,3,4,3,8,15,11,12,7,payton
2024-11-25,BOS,,LAC,"W, 126-94",25:46,13,6,10,0,0,0,2,2,4,20,26,24,22,6,payton
2024-11-29,BOS,@,CHI,"W, 138-129",28:31,16,7,11,2,2,4,3,7,1,29,37,30,36,8,payton
2024-12-01,BOS,@,CLE,"L, 111-115",36:07,16,3,10,7,8,1,6,7,3,24,34,27,31,10,payton
2024-12-02,BOS,,MIA,"W, 108-89",32:55,17,5,12,0,0,1,4,5,4,25,34,29,30,9,payton
2024-12-04,BOS,,DET,"W, 130-120",34:22,15,5,13,0,0,4,1,5,4,19,28,23,24,9,payton
2024-12-06,BOS,,MIL,"W, 111-105",24:25,3,0,2,0,0,1,2,3,2,0,5,2,3,5,payton
2024-12-07,BOS,,MEM,"L, 121-127",29:59,12,6,11,2,4,2,4,6,2,22,30,24,28,8,payton
2024-12-12,BOS,,DET,"W, 123-99",31:00,20,7,15,0,0,0,4,4,10,27,41,37,31,14,payton
2024-12-15,BOS,@,WAS,"W, 112-98",36:50,12,5,10,0,0,4,7,11,6,15,32,21,26,17,payton
2024-12-19,BOS,,CHI,"L, 108-117",30:23,12,4,10,0,0,4,2,6,3,14,23,17,20,9,payton
2024-12-21,BOS,@,CHI,"W, 123-98",31:40,7,2,6,0,0,3,1,4,2,6,12,8,10,6,payton
2024-12-23,BOS,@,ORL,"L, 104-108",21:06,7,1,5,0,0,1,2,3,1,7,11,8,10,4,payton
2024-12-25,BOS,,PHI,"L, 114-118",33:14,9,0,8,2,2,2,1,3,5,4,12,9,7,8,payton
2024-12-27,BOS,,IND,"W, 142-105",31:37,16,4,10,0,0,5,3,8,10,18,36,28,26,18,payton
2024-12-29,BOS,,IND,"L, 114-123",27:42,13,5,8,2,2,1,3,4,3,21,28,24,25,7,payton
2024-12-31,BOS,,TOR,"W, 125-71",22:56,13,5,8,0,0,1,5,6,4,19,29,23,25,10,payton
2025-01-02,BOS,@,MIN,"W, 118-115",24:42,8,2,6,1,2,1,1,2,4,9,15,13,11,6,payton
2025-01-03,BOS,@,HOU,"W, 109-86",32:14,10,4,6,0,0,1,3,4,2,20,26,22,24,6,payton
2025-01-05,BOS,@,OKC,"L, 92-105",10:53,5,0,3,0,0,1,0,1,1,0,2,1,1,2,payton
2025-01-07,BOS,@,DEN,"W, 118-106",19:34,6,1,5,0,0,2,1,3,4,3,10,7,6,7,payton
2025-01-10,BOS,,SAC,"L, 97-114",27:27,11,1,7,0,0,1,1,2,2,9,13,11,11,4,payton
2025-01-12,BOS,,NOP,"W, 120-119",23:50,10,3,8,0,0,0,1,1,4,11,16,15,12,5,payton
2025-01-15,BOS,@,TOR,"L, 97-110",30:51,11,4,8,2,3,2,0,2,4,20,26,24,22,6,payton
2025-01-17,BOS,,ORL,"W, 121-94",20:55,3,0,0,0,0,2,0,2,3,4,9,7,6,5,payton
2025-01-18,BOS,,ATL,"L, 115-119 (OT)",32:56,12,4,8,2,2,1,5,6,1,20,27,21,26,7,payton
2025-01-20,BOS,@,GSW,"W, 125-85",21:48,10,2,6,2,2,1,1,2,9,14,25,23,16,11,payton
2025-01-22,BOS,@,LAC,"W, 117-113 (OT)",27:40,11,1,7,0,0,2,2,4,3,9,16,12,13,7,payton
2025-01-23,BOS,@,LAL,"L, 96-117",24:14,12,1,5,2,2,0,2,2,2,7,11,9,9,4,payton
2025-01-25,BOS,@,DAL,"W, 122-107",26:34,4,2,4,0,0,3,6,9,4,6,19,10,15,13,payton
2025-01-27,BOS,,HOU,"L, 112-114",30:36,7,5,6,0,0,0,4,4,3,15,22,18,19,7,payton
2025-01-29,BOS,,CHI,"W, 122-100",34:13,6,2,3,0,0,0,2,2,7,10,19,17,12,9,payton
2025-01-31,BOS,@,NOP,"W, 118-116",17:16,4,1,3,0,0,0,1,1,0,3,4,3,4,1,payton
2025-02-04,BOS,@,CLE,"W, 112-105",28:49,7,3,7,0,0,3,3,6,3,9,18,12,15,9,payton
2025-02-06,BOS,,DAL,"L, 120-127",32:52,15,3,9,0,0,1,5,6,6,21,33,27,27,12,payton
2025-02-08,BOS,@,NYK,"W, 131-104",27:24,13,6,8,1,2,0,4,4,4,25,33,29,29,8,payton
2025-02-10,BOS,@,MIA,"W, 103-85",36:26,9,1,8,0,0,0,10,10,8,5,23,13,15,18,payton
2025-02-12,BOS,,SAS,"W, 116-103",31:24,12,2,10,0,0,4,3,7,3,10,20,13,17,10,payton
2025-02-20,BOS,@,PHI,"W, 124-104",31:23,18,8,15,0,0,0,0,0,4,28,32,32,28,4,payton
2025-02-23,BOS,,NYK,"W, 118-105",16:41,5,1,5,0,0,1,3,4,2,3,9,5,7,6,payton
2025-02-25,BOS,@,TOR,"W, 111-101",34:43,17,4,13,0,0,2,5,7,2,20,29,22,27,9,payton
2025-02-26,BOS,@,DET,"L, 97-117",31:23,10,5,8,1,1,1,2,3,4,18,25,22,21,7,payton
2025-02-28,BOS,,CLE,"L, 116-123",25:24,4,2,4,0,0,0,0,0,1,6,7,7,6,1,payton
2025-03-02,BOS,,DEN,"W, 110-103",25:47,7,3,5,0,0,0,1,1,3,11,15,14,12,4,payton
2025-03-05,BOS,,POR,"W, 128-118",42:51,20,10,16,5,5,4,6,10,5,43,58,48,53,15,payton
2025-03-06,BOS,,PHI,"W, 123-105",32:18,13,4,8,3,3,3,1,4,6,19,29,25,23,10,payton
2025-03-08,BOS,,LAL,"W, 111-101",22:30,5,1,4,0,0,0,2,2,2,3,7,5,5,4,payton
2025-03-10,BOS,,UTA,"W, 114-108",25:55,11,2,8,0,0,0,1,1,3,8,12,11,9,4,payton
2025-03-12,BOS,,OKC,"L, 112-118",24:58,10,2,9,0,0,1,0,1,1,8,10,9,9,2,payton
2025-03-14,BOS,@,MIA,"W, 103-91",27:10,12,3,9,0,0,1,2,3,0,11,14,11,14,3,payton
2025-03-15,BOS,@,BRK,"W, 115-113",32:58,11,5,8,3,4,2,4,6,3,22,31,25,28,9,payton
2025-03-18,BOS,,BRK,"W, 104-96",33:37,9,3,7,1,1,1,3,4,2,10,16,12,14,6,payton
2025-03-21,BOS,@,UTA,"W, 121-99",31:35,13,4,11,2,3,1,1,2,4,18,24,22,20,6,payton
2025-03-23,BOS,@,POR,"W, 129-116",31:41,14,4,9,0,0,1,3,4,5,16,25,21,20,9,payton
2025-03-24,BOS,@,SAC,"W, 113-95",34:36,18,5,13,1,2,1,4,5,2,22,29,24,27,7,payton
2025-03-26,BOS,@,PHO,"W, 132-102",24:48,10,1,8,0,0,1,5,6,4,7,17,11,13,10,payton
2025-03-31,BOS,@,MEM,"W, 117-103",25:35,6,1,5,0,0,2,4,6,1,5,12,6,11,7,payton
2025-04-02,BOS,,MIA,"L, 103-124",31:17,9,2,6,0,0,2,2,4,2,10,16,12,14,6,payton
2025-04-04,BOS,,PHO,"W, 123-103",22:20,5,2,3,0,0,0,1,1,3,10,14,13,11,4,payton
2025-04-06,BOS,,WAS,"W, 124-90",29:32,18,4,11,0,0,1,5,6,7,20,33,27,26,13,payton
2025-04-08,BOS,@,NYK,"W, 119-117 (OT)",29:53,6,0,3,2,2,1,4,5,3,8,16,11,13,8,payton
2025-04-09,BOS,@,ORL,"L, 76-96",34:59,17,1,7,0,0,0,4,4,10,15,29,25,19,14,payton
2025-04-11,BOS,,CHO,"W, 130-94",21:42,11,4,5,0,0,0,3,3,3,22,28,25,25,6,payton
2025-04-13,BOS,,CHO,"W, 93-86",38:30,25,4,12,2,2,3,4,7,7,34,48,41,41,14,payton
