Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-26,CHO,,MIA,"L, 106-114",08:38,1,0,1,0,0,0,1,1,0,0,1,0,1,1,tidjane
2024-10-30,CHO,,TOR,"W, 138-133",16:10,3,0,2,1,2,1,2,3,3,3,9,6,6,6,tidjane
2024-11-01,CHO,,BOS,"L, 109-124",19:01,5,3,5,0,0,1,5,6,1,9,16,10,15,7,tidjane
2024-11-02,CHO,,BOS,"L, 103-113",15:45,3,0,2,0,0,0,1,1,0,0,1,0,1,1,tidjane
2024-11-04,CHO,@,MIN,"L, 93-114",22:04,10,1,7,0,0,0,2,2,1,5,8,6,7,3,tidjane
2024-11-06,CHO,,DET,"W, 108-107",11:58,1,1,1,0,0,0,1,1,0,3,4,3,4,1,tidjane
2024-11-08,CHO,,IND,"W, 103-83",21:29,6,0,3,0,0,3,4,7,1,2,10,3,9,8,tidjane
2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",19:13,5,0,3,0,0,1,8,9,2,2,13,4,11,11,tidjane
2024-11-12,CHO,@,ORL,"L, 89-114",20:34,6,1,3,0,2,2,4,6,1,3,10,4,9,7,tidjane
2024-11-16,CHO,,MIL,"W, 115-114",09:32,4,1,3,0,0,0,1,1,2,3,6,5,4,3,tidjane
2024-11-17,CHO,@,CLE,"L, 114-128",14:54,3,0,2,0,0,1,0,1,1,0,2,1,1,2,tidjane
2024-11-19,CHO,@,BRK,"L, 115-116",14:32,2,1,1,6,7,0,8,8,1,11,20,12,19,9,tidjane
2024-11-21,CHO,,DET,"W, 123-121 (OT)",13:06,4,1,2,2,2,0,2,2,0,7,9,7,9,2,tidjane
2024-11-23,CHO,@,MIL,"L, 119-125",16:53,3,2,3,0,0,1,1,2,1,6,9,7,8,3,tidjane
2024-11-25,CHO,,ORL,"L, 84-95",30:01,3,0,2,1,2,1,6,7,1,1,9,2,8,8,tidjane
2024-11-27,CHO,,MIA,"L, 94-98",37:35,12,3,7,0,0,3,1,4,2,17,23,19,21,6,tidjane
2024-11-29,CHO,,NYK,"L, 98-99",34:57,11,4,10,2,2,1,7,8,1,14,23,15,22,9,tidjane
2024-11-30,CHO,,ATL,"L, 104-107",22:00,8,0,5,0,0,0,1,1,1,0,2,1,1,2,tidjane
2024-12-03,CHO,,PHI,"L, 104-110",25:44,10,2,6,0,0,3,7,10,0,10,20,10,20,10,tidjane
2024-12-05,CHO,@,NYK,"L, 101-125",02:14,1,0,0,2,2,0,1,1,0,4,5,4,5,1,tidjane
2024-12-13,CHO,@,CHI,"L, 95-109",23:09,7,1,3,1,1,1,5,6,1,8,15,9,14,7,tidjane
2024-12-16,CHO,,PHI,"L, 108-121",18:16,2,0,2,0,2,0,2,2,1,0,3,1,2,3,tidjane
2024-12-19,CHO,@,WAS,"L, 114-123",16:07,5,1,4,0,0,2,2,4,1,3,8,4,7,5,tidjane
2024-12-20,CHO,@,PHI,"L, 98-108",23:32,8,2,5,0,0,4,4,8,5,8,21,13,16,13,tidjane
2024-12-23,CHO,,HOU,"L, 101-114",19:00,4,0,2,0,0,1,2,3,2,0,5,2,3,5,tidjane
2024-12-26,CHO,@,WAS,"L, 110-113",13:13,3,2,2,0,0,2,2,4,0,6,10,6,10,4,tidjane
2024-12-28,CHO,,OKC,"L, 94-106",31:25,10,1,4,2,2,1,4,5,1,9,15,10,14,6,tidjane
2024-12-30,CHO,,CHI,"L, 108-115 (OT)",16:49,6,1,3,0,0,0,8,8,2,3,13,5,11,10,tidjane
2025-01-03,CHO,@,DET,"L, 94-98",19:20,7,0,3,1,3,0,1,1,1,9,11,10,10,2,tidjane
2025-01-05,CHO,@,CLE,"L, 105-115",22:34,8,1,5,1,2,5,4,9,1,6,16,7,15,10,tidjane
2025-01-07,CHO,,PHO,"W, 115-104",11:14,3,0,2,2,2,0,2,2,0,4,6,4,6,2,tidjane
2025-01-12,CHO,@,PHO,"L, 113-120",06:24,1,0,0,0,0,0,2,2,0,0,2,0,2,2,tidjane
2025-01-15,CHO,@,UTA,"W, 117-112",13:40,2,0,2,0,0,0,1,1,1,0,2,1,1,2,tidjane
2025-01-17,CHO,@,CHI,"W, 125-123",14:14,3,1,2,0,0,1,2,3,2,3,8,5,6,5,tidjane
2025-02-05,CHO,,MIL,"L, 102-112",21:32,8,1,4,3,4,2,2,4,1,10,15,11,14,5,tidjane
2025-02-07,CHO,,SAS,"W, 117-116",17:59,4,2,2,0,0,1,4,5,0,8,13,8,13,5,tidjane
2025-02-09,CHO,@,DET,"L, 102-112",31:17,12,0,6,6,6,3,4,7,4,8,19,12,15,11,tidjane
2025-02-10,CHO,@,BRK,"L, 89-97",27:09,10,2,5,6,9,1,4,5,0,16,21,16,21,5,tidjane
2025-02-12,CHO,@,ORL,"L, 86-102",20:19,5,1,2,0,0,0,3,3,1,3,7,4,6,4,tidjane
2025-02-19,CHO,@,LAL,"W, 100-97",17:30,5,1,2,0,0,2,4,6,0,3,9,3,9,6,tidjane
2025-02-20,CHO,@,DEN,"L, 115-129",24:01,6,0,2,1,2,3,5,8,0,3,11,3,11,8,tidjane
2025-02-22,CHO,@,POR,"L, 88-141",23:17,8,0,4,2,3,1,1,2,1,6,9,7,8,3,tidjane
2025-02-24,CHO,@,SAC,"L, 88-130",23:14,5,0,3,2,2,3,0,3,0,4,7,4,7,3,tidjane
2025-03-01,CHO,,WAS,"L, 100-113",15:20,3,0,2,0,0,0,2,2,0,0,2,0,2,2,tidjane
2025-03-03,CHO,,GSW,"L, 101-119",15:04,3,3,3,1,3,0,2,2,0,10,12,10,12,2,tidjane
2025-03-05,CHO,,MIN,"L, 110-125",16:18,2,0,1,2,2,2,5,7,3,4,14,7,11,10,tidjane
2025-03-07,CHO,,CLE,"L, 117-118",17:39,5,3,5,0,0,2,4,6,3,9,18,12,15,9,tidjane
2025-03-08,CHO,,BRK,"W, 105-102",18:56,8,1,4,2,2,1,2,3,2,9,14,11,12,5,tidjane
2025-03-23,CHO,@,MIA,"L, 105-122",24:32,4,1,2,0,0,1,4,5,1,7,13,8,12,6,tidjane
2025-03-25,CHO,,ORL,"L, 104-111",25:34,4,1,2,5,6,2,5,7,0,8,15,8,15,7,tidjane
2025-03-28,CHO,@,TOR,"L, 97-108",24:28,8,0,2,2,3,5,9,14,1,12,27,13,26,15,tidjane
2025-03-30,CHO,@,NOP,"L, 94-98",29:14,7,0,6,2,2,0,7,7,4,4,15,8,11,11,tidjane
2025-03-31,CHO,,UTA,"W, 110-106",24:39,5,3,3,1,2,1,3,4,2,12,18,14,16,6,tidjane
2025-04-02,CHO,@,IND,"L, 105-119",27:01,8,1,4,0,0,1,4,5,2,7,14,9,12,7,tidjane
2025-04-04,CHO,,SAC,"L, 102-125",28:53,12,2,7,5,5,2,3,5,2,13,20,15,18,7,tidjane
2025-04-06,CHO,,CHI,"L, 117-131",25:50,8,0,3,0,2,1,5,6,3,6,15,9,12,9,tidjane
2025-04-08,CHO,,MEM,"L, 100-124",28:51,7,3,7,4,8,0,9,9,3,13,25,16,22,12,tidjane
2025-04-09,CHO,@,TOR,"L, 96-126",30:59,11,1,6,0,0,0,6,6,0,9,15,9,15,6,tidjane
2025-04-11,CHO,@,BOS,"L, 94-130",23:38,6,1,4,0,0,1,4,5,2,5,12,7,10,7,tidjane
2025-04-13,CHO,@,BOS,"L, 86-93",35:53,11,1,7,2,2,0,5,5,2,5,12,7,10,7,tidjane
