Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,DET,,IND,"L, 109-115",30:04,4,0,0,5,6,4,9,13,4,13,30,17,26,17,jalen
2024-10-25,DET,@,CLE,"L, 101-113",29:12,4,0,0,1,4,3,4,7,5,5,17,10,12,12,jalen
2024-10-26,DET,,BOS,"L, 118-124",28:44,7,0,0,1,2,3,6,9,2,15,26,17,24,11,jalen
2024-10-28,DET,@,MIA,"L, 98-106",28:47,6,0,0,0,0,4,7,11,2,10,23,12,21,13,jalen
2024-10-30,DET,@,PHI,"W, 105-95",10:43,0,0,0,0,2,3,3,6,1,0,7,1,6,7,jalen
2024-11-01,DET,,NYK,"L, 98-128",18:19,2,0,0,1,2,1,6,7,2,5,14,7,12,9,jalen
2024-11-03,DET,@,BRK,"W, 106-92",33:15,5,0,0,3,4,3,14,17,4,13,34,17,30,21,jalen
2024-11-04,DET,,LAL,"W, 115-103",23:51,7,0,0,1,1,8,6,14,1,11,26,12,25,15,jalen
2024-11-06,DET,@,CHO,"L, 107-108",07:31,1,0,0,0,0,0,3,3,1,0,4,1,3,4,jalen
2024-11-12,DET,,MIA,"W, 123-121 (OT)",30:16,5,0,0,0,2,3,8,11,5,8,24,13,19,16,jalen
2024-11-13,DET,@,MIL,"L, 120-127 (OT)",34:08,4,0,0,3,4,4,5,9,6,9,24,15,18,15,jalen
2024-11-15,DET,@,TOR,"W, 99-95",24:18,6,0,0,2,4,2,6,8,1,12,21,13,20,9,jalen
2024-11-17,DET,@,WAS,"W, 124-104",18:12,8,0,0,1,4,4,6,10,1,11,22,12,21,11,jalen
2024-11-18,DET,,CHI,"L, 112-122",30:05,13,0,0,1,2,12,10,22,3,15,40,18,37,25,jalen
2024-11-21,DET,@,CHO,"L, 121-123 (OT)",24:05,3,0,0,1,1,2,7,9,0,5,14,5,14,9,jalen
2024-11-23,DET,@,ORL,"L, 100-111",24:35,5,0,0,3,4,1,3,4,1,7,12,8,11,5,jalen
2024-11-25,DET,,TOR,"W, 102-100",24:35,7,0,0,5,8,2,10,12,4,13,29,17,25,16,jalen
2024-11-27,DET,@,MEM,"L, 111-131",20:43,5,0,0,2,2,1,6,7,3,6,16,9,13,10,jalen
2024-11-29,DET,@,IND,"W, 130-106",26:12,8,0,0,4,7,2,10,12,2,14,28,16,26,14,jalen
2024-11-30,DET,,PHI,"L, 96-111",12:32,2,0,0,0,0,0,0,0,2,4,6,6,4,2,jalen
2024-12-03,DET,,MIL,"L, 107-128",19:47,6,0,0,1,1,3,3,6,2,11,19,13,17,8,jalen
2024-12-04,DET,@,BOS,"L, 120-130",25:06,5,0,0,3,6,2,3,5,2,5,12,7,10,7,jalen
2024-12-07,DET,@,NYK,"W, 120-111",25:12,9,0,0,0,0,3,0,3,0,12,15,12,15,3,jalen
2024-12-16,DET,,MIA,"W, 125-124 (OT)",31:47,7,0,0,1,1,4,12,16,2,9,27,11,25,18,jalen
2024-12-19,DET,,UTA,"L, 119-126",25:36,4,0,0,0,0,3,4,7,2,8,17,10,15,9,jalen
2024-12-21,DET,@,PHO,"W, 133-125",33:36,7,0,0,3,5,3,8,11,2,17,30,19,28,13,jalen
2024-12-23,DET,@,LAL,"W, 117-114",27:26,2,0,0,4,4,3,6,9,2,6,17,8,15,11,jalen
2024-12-26,DET,@,SAC,"W, 114-113",31:58,8,0,0,3,4,2,8,10,3,13,26,16,23,13,jalen
2024-12-28,DET,@,DEN,"L, 121-134",19:54,8,0,0,2,4,3,4,7,2,12,21,14,19,9,jalen
2025-01-01,DET,,ORL,"W, 105-96",26:44,10,0,0,0,0,3,8,11,1,18,30,19,29,12,jalen
2025-01-03,DET,,CHO,"W, 98-94",24:43,9,0,0,0,0,7,7,14,1,10,25,11,24,15,jalen
2025-01-04,DET,,MIN,"W, 119-105",22:53,4,0,0,1,2,5,2,7,3,5,15,8,12,10,jalen
2025-01-06,DET,,POR,"W, 118-115",27:25,11,0,0,0,0,6,6,12,4,14,30,18,26,16,jalen
2025-01-08,DET,@,BRK,"W, 113-98",21:38,5,0,0,2,4,2,7,9,3,8,20,11,17,12,jalen
2025-01-09,DET,,GSW,"L, 104-107",31:00,6,0,0,2,3,1,11,12,3,8,23,11,20,15,jalen
2025-01-11,DET,,TOR,"W, 123-114",28:19,4,0,0,4,4,1,8,9,2,10,21,12,19,11,jalen
2025-01-13,DET,@,NYK,"W, 124-119",19:33,4,0,0,2,2,4,4,8,3,10,21,13,18,11,jalen
2025-01-16,DET,,IND,"L, 100-111",27:13,8,0,0,1,1,6,11,17,0,17,34,17,34,17,jalen
2025-01-18,DET,,PHO,"L, 121-125",24:46,9,0,0,5,6,7,3,10,2,15,27,17,25,12,jalen
2025-01-20,DET,@,HOU,"W, 107-96",30:00,8,0,0,0,0,6,8,14,3,16,33,19,30,17,jalen
2025-01-22,DET,@,ATL,"W, 114-104",25:39,7,0,0,2,2,1,11,12,2,14,28,16,26,14,jalen
2025-01-25,DET,@,ORL,"L, 113-121",32:11,9,0,0,0,0,3,5,8,1,10,19,11,18,9,jalen
2025-01-27,DET,@,CLE,"L, 91-110",28:30,11,0,0,0,2,7,9,16,1,12,29,13,28,17,jalen
2025-01-29,DET,@,IND,"L, 119-133",31:17,8,0,0,4,4,4,6,10,3,14,27,17,24,13,jalen
2025-01-31,DET,,DAL,"W, 117-102",30:16,8,0,0,4,5,6,7,13,5,16,34,21,29,18,jalen
2025-02-02,DET,,CHI,"W, 127-119",29:55,11,0,0,3,4,4,9,13,4,21,38,25,34,17,jalen
2025-02-03,DET,,ATL,"L, 130-132",28:39,10,0,0,2,2,3,6,9,1,18,28,19,27,10,jalen
2025-02-05,DET,,CLE,"L, 115-118",22:00,8,0,0,0,0,6,4,10,0,8,18,8,18,10,jalen
2025-02-07,DET,,PHI,"W, 125-112",19:46,7,0,0,3,3,5,8,13,7,13,33,20,26,20,jalen
2025-02-09,DET,,CHO,"W, 112-102",31:28,10,0,0,4,4,5,7,12,6,16,34,22,28,18,jalen
2025-02-11,DET,@,CHI,"W, 132-92",22:54,5,0,0,0,0,3,8,11,5,4,20,9,15,16,jalen
2025-02-12,DET,@,CHI,"W, 128-110",29:56,7,0,0,4,5,3,11,14,5,16,35,21,30,19,jalen
2025-02-21,DET,@,SAS,"W, 125-110",26:45,14,0,0,1,1,5,10,15,5,21,41,26,36,20,jalen
2025-02-23,DET,@,ATL,"W, 148-143",23:01,6,0,0,1,2,1,4,5,6,13,24,19,18,11,jalen
2025-02-24,DET,,LAC,"W, 106-97",30:52,9,0,0,4,6,6,13,19,2,12,33,14,31,21,jalen
2025-02-26,DET,,BOS,"W, 117-97",25:38,7,0,0,1,2,4,7,11,2,13,26,15,24,13,jalen
2025-02-28,DET,,DEN,"L, 119-134",16:22,5,0,0,2,4,3,5,8,2,8,18,10,16,10,jalen
2025-03-01,DET,,BRK,"W, 115-94",30:23,7,0,0,6,6,1,10,11,2,18,31,20,29,13,jalen
2025-03-03,DET,@,UTA,"W, 134-106",29:55,5,0,0,6,8,1,11,12,2,16,30,18,28,14,jalen
2025-03-05,DET,@,LAC,"L, 115-123",25:37,3,0,0,3,6,0,3,3,4,7,14,11,10,7,jalen
2025-03-08,DET,@,GSW,"L, 110-115",29:21,11,0,0,1,3,5,8,13,2,13,28,15,26,15,jalen
2025-03-09,DET,@,POR,"W, 119-112",28:35,10,0,0,4,4,2,10,12,2,18,32,20,30,14,jalen
2025-03-11,DET,,WAS,"W, 123-103",24:44,11,0,0,1,2,5,8,13,0,15,28,15,28,13,jalen
2025-03-13,DET,,WAS,"L, 125-129",29:31,10,0,0,2,2,4,10,14,0,18,32,18,32,14,jalen
2025-03-15,DET,,OKC,"L, 107-113",28:34,6,0,0,2,4,1,4,5,2,8,15,10,13,7,jalen
2025-03-17,DET,@,NOP,"W, 127-81",21:58,6,0,0,1,2,1,6,7,6,9,22,15,16,13,jalen
2025-03-19,DET,@,MIA,"W, 116-113",27:56,9,0,0,3,4,5,6,11,1,15,27,16,26,12,jalen
2025-03-21,DET,@,DAL,"L, 117-123",27:29,5,0,0,4,6,5,4,9,3,14,26,17,23,12,jalen
2025-03-23,DET,,NOP,"W, 136-130",29:02,11,0,0,6,9,6,6,12,2,22,36,24,34,14,jalen
2025-03-25,DET,,SAS,"W, 122-96",24:02,9,0,0,2,5,1,3,4,7,14,25,21,18,11,jalen
2025-03-28,DET,,CLE,"W, 133-122",27:28,9,0,0,4,6,6,7,13,0,16,29,16,29,13,jalen
2025-03-30,DET,@,MIN,"L, 104-123",26:19,10,0,0,1,1,5,6,11,3,13,27,16,24,14,jalen
2025-04-02,DET,@,OKC,"L, 103-119",33:30,10,0,0,7,10,6,7,13,3,13,29,16,26,16,jalen
2025-04-04,DET,@,TOR,"W, 117-105",36:09,11,0,0,3,4,4,14,18,6,21,45,27,39,24,jalen
2025-04-07,DET,,SAC,"L, 117-127",19:56,4,0,0,2,2,3,6,9,6,6,21,12,15,15,jalen
2025-04-10,DET,,NYK,"W, 115-106",25:59,9,0,0,0,0,5,8,13,2,18,33,20,31,15,jalen
2025-04-11,DET,,MIL,"L, 119-125",38:52,9,0,0,1,6,6,10,16,5,11,32,16,27,21,jalen
2025-04-13,DET,@,MIL,"L, 133-140 (OT)",08:21,3,0,0,0,0,0,1,1,2,4,7,6,5,3,jalen
