Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,MIA,,ORL,"L, 97-116",25:49,8,0,2,1,2,1,3,4,5,3,12,8,7,9,butler
2024-10-26,MIA,@,CHO,"W, 114-106",36:54,15,1,3,11,17,4,4,8,8,26,42,34,34,16,butler
2024-10-28,MIA,,DET,"W, 106-98",33:44,11,0,1,9,11,3,1,4,7,23,34,30,27,11,butler
2024-10-30,MIA,,NYK,"L, 107-116",37:24,9,0,2,3,4,2,2,4,4,15,23,19,19,8,butler
2024-11-02,MIA,@,WAS,"W, 118-98",30:41,13,0,0,6,8,6,2,8,4,18,30,22,26,12,butler
2024-11-04,MIA,,SAC,"L, 110-111",35:54,19,1,2,8,11,1,1,2,6,27,35,33,29,8,butler
2024-11-06,MIA,@,PHO,"L, 112-115",36:55,13,0,2,3,3,3,4,7,3,15,25,18,22,10,butler
2024-11-08,MIA,@,DEN,"L, 122-135",06:44,2,0,1,0,0,1,0,1,2,2,5,4,3,3,butler
2024-11-18,MIA,,PHI,"W, 106-89",33:40,12,1,1,13,13,5,5,10,5,30,45,35,40,15,butler
2024-11-24,MIA,,DAL,"W, 123-118 (OT)",38:05,17,0,0,11,16,3,6,9,6,33,48,39,42,15,butler
2024-11-26,MIA,,MIL,"L, 103-106",36:58,12,0,1,11,13,2,2,4,5,23,32,28,27,9,butler
2024-11-27,MIA,@,CHO,"W, 98-94",25:01,2,2,2,0,0,0,4,4,3,6,13,9,10,7,butler
2024-11-29,MIA,,TOR,"W, 121-111",34:15,14,2,4,8,9,0,2,2,6,26,34,32,28,8,butler
2024-12-01,MIA,@,TOR,"L, 116-119",34:25,9,0,0,5,6,2,3,5,3,17,25,20,22,8,butler
2024-12-04,MIA,,LAL,"W, 134-93",29:21,12,1,1,0,1,5,4,9,5,17,31,22,26,14,butler
2024-12-07,MIA,,PHO,"W, 121-111",34:28,12,1,1,5,5,2,5,7,4,24,35,28,31,11,butler
2024-12-08,MIA,,CLE,"W, 122-113",35:16,12,0,2,6,8,1,2,3,5,18,26,23,21,8,butler
2024-12-12,MIA,,TOR,"W, 114-104",29:26,8,0,0,5,8,3,2,5,4,11,20,15,16,9,butler
2024-12-16,MIA,@,DET,"L, 124-125 (OT)",44:20,21,1,3,10,12,7,12,19,10,35,64,45,54,29,butler
2024-12-20,MIA,,OKC,"L, 97-104",07:19,0,0,0,0,0,0,0,0,2,0,2,2,0,2,butler
2025-01-01,MIA,,NOP,"W, 119-108",24:44,5,1,2,2,2,0,4,4,2,9,15,11,13,6,butler
2025-01-02,MIA,,IND,"L, 115-128",26:31,6,1,2,2,2,0,2,2,4,9,15,13,11,6,butler
2025-01-17,MIA,,DEN,"L, 113-133",33:15,15,0,2,4,4,2,1,3,2,18,23,20,21,5,butler
2025-01-19,MIA,,SAS,"W, 128-107",27:47,7,0,1,2,2,0,3,3,7,8,18,15,11,10,butler
2025-01-21,MIA,,POR,"L, 107-116",26:56,9,1,1,4,4,2,2,4,8,13,25,21,17,12,butler
2025-02-08,GSW,@,CHI,"W, 132-111",28:40,12,0,1,11,13,1,1,2,4,25,31,29,27,6,butler
2025-02-10,GSW,@,MIL,"W, 125-111",31:23,12,0,2,12,15,6,3,9,6,20,35,26,29,15,butler
2025-02-12,GSW,@,DAL,"L, 107-111",35:06,17,0,0,5,6,6,3,9,7,21,37,28,30,16,butler
2025-02-13,GSW,@,HOU,"W, 105-98",34:31,15,1,4,6,6,4,4,8,4,19,31,23,27,12,butler
2025-02-21,GSW,@,SAC,"W, 132-108",31:33,10,0,1,7,7,2,1,3,7,17,27,24,20,10,butler
2025-02-23,GSW,,DAL,"W, 126-102",28:18,9,0,2,8,8,1,2,3,5,18,26,23,21,8,butler
2025-02-25,GSW,,CHO,"W, 128-92",18:53,8,0,1,0,1,2,6,8,5,6,19,11,14,13,butler
2025-02-27,GSW,@,ORL,"W, 121-115",32:21,7,0,3,3,4,2,2,4,7,5,16,12,9,11,butler
2025-03-03,GSW,@,CHO,"W, 119-101",31:20,7,1,3,6,6,1,2,3,4,13,20,17,16,7,butler
2025-03-04,GSW,@,NYK,"W, 114-102",34:52,12,0,3,7,9,1,3,4,4,19,27,23,23,8,butler
2025-03-06,GSW,@,BRK,"W, 121-119",35:06,13,1,1,10,10,1,1,2,6,25,33,31,27,8,butler
2025-03-08,GSW,,DET,"W, 115-110",36:34,17,2,4,6,7,1,8,9,5,26,40,31,35,14,butler
2025-03-10,GSW,,POR,"W, 130-120",35:00,10,0,0,7,8,4,6,10,10,15,35,25,25,20,butler
2025-03-13,GSW,,SAC,"W, 130-104",28:10,5,0,0,2,2,1,4,5,7,6,18,13,11,12,butler
2025-03-15,GSW,,NYK,"W, 97-94",32:40,11,1,2,4,4,3,3,6,7,11,24,18,17,13,butler
2025-03-17,GSW,,DEN,"L, 105-114",33:22,16,1,4,6,10,3,5,8,6,23,37,29,31,14,butler
2025-03-18,GSW,,MIL,"W, 104-93",36:59,13,1,4,11,11,2,6,8,10,24,42,34,32,18,butler
2025-03-20,GSW,,TOR,"W, 117-114",35:51,15,1,2,7,10,3,8,11,12,16,39,28,27,23,butler
2025-03-22,GSW,@,ATL,"L, 115-124",37:31,15,1,7,10,14,0,4,4,8,25,37,33,29,12,butler
2025-03-25,GSW,@,MIA,"L, 86-112",28:43,12,0,2,1,1,5,1,6,2,11,19,13,17,8,butler
2025-03-28,GSW,@,NOP,"W, 111-95",34:44,13,1,6,5,7,7,3,10,4,18,32,22,28,14,butler
2025-03-30,GSW,@,SAS,"W, 148-106",23:32,5,1,2,4,4,1,2,3,8,13,24,21,16,11,butler
2025-04-01,GSW,@,MEM,"W, 134-125",38:09,11,1,2,12,12,1,5,6,4,27,37,31,33,10,butler
2025-04-03,GSW,@,LAL,"W, 123-116",36:00,7,1,2,2,2,3,1,4,2,11,17,13,15,6,butler
2025-04-04,GSW,,DEN,"W, 118-104",34:12,13,1,3,6,6,3,0,3,5,19,27,24,22,8,butler
2025-04-06,GSW,,HOU,"L, 96-106",32:51,7,1,1,4,4,2,3,5,3,13,21,16,18,8,butler
2025-04-08,GSW,@,PHO,"W, 133-95",19:31,4,0,0,6,7,1,1,2,3,10,15,13,12,5,butler
2025-04-09,GSW,,SAS,"L, 111-114",38:21,8,2,2,16,17,2,2,4,7,28,39,35,32,11,butler
2025-04-11,GSW,@,POR,"W, 103-86",28:04,10,1,2,11,11,1,4,5,7,24,36,31,29,12,butler
2025-04-13,GSW,,LAC,"L, 119-124 (OT)",48:02,20,0,2,6,9,0,1,1,9,30,40,39,31,10,butler
