Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,GSW,@,POR,"W, 140-104",19:31,9,0,2,4,6,1,3,4,1,10,15,11,14,5,jonathan
2024-10-25,GSW,@,UTA,"W, 127-86",17:40,5,0,1,0,0,0,1,1,1,2,4,3,3,2,jonathan
2024-10-27,GSW,,LAC,"L, 104-112",22:03,10,1,6,3,6,3,2,5,1,12,18,13,17,6,jonathan
2024-10-29,GSW,,NOP,"W, 124-106",28:12,13,1,3,4,4,0,3,3,3,17,23,20,20,6,jonathan
2024-10-30,GSW,,NOP,"W, 104-89",27:15,12,0,1,4,5,2,2,4,2,16,22,18,20,6,jonathan
2024-11-02,GSW,@,HOU,"W, 127-121 (OT)",26:26,12,2,3,7,10,1,5,6,1,23,30,24,29,7,jonathan
2024-11-04,GSW,@,WAS,"W, 125-112",25:17,15,0,2,1,4,3,3,6,2,15,23,17,21,8,jonathan
2024-11-06,GSW,@,BOS,"W, 118-112",17:57,10,2,3,0,0,0,4,4,1,10,15,11,14,5,jonathan
2024-11-08,GSW,@,CLE,"L, 117-136",29:05,14,3,7,4,6,1,4,5,5,21,31,26,26,10,jonathan
2024-11-10,GSW,@,OKC,"W, 127-116",26:23,11,2,4,2,3,1,4,5,1,20,26,21,25,6,jonathan
2024-11-12,GSW,,DAL,"W, 120-117",27:33,11,2,5,2,4,2,3,5,1,16,22,17,21,6,jonathan
2024-11-15,GSW,,MEM,"W, 123-118",17:59,13,0,4,2,4,2,2,4,2,8,14,10,12,6,jonathan
2024-11-18,GSW,@,LAC,"L, 99-102",19:05,10,1,3,1,4,0,2,2,3,12,17,15,14,5,jonathan
2024-11-20,GSW,,ATL,"W, 120-97",15:24,9,1,3,3,4,2,4,6,2,10,18,12,16,8,jonathan
2024-11-22,GSW,@,NOP,"W, 112-108",20:19,10,0,2,1,2,0,4,4,2,7,13,9,11,6,jonathan
2024-11-27,GSW,,OKC,"L, 101-105",28:06,21,3,10,0,1,1,3,4,2,19,25,21,23,6,jonathan
2024-11-30,GSW,@,PHO,"L, 105-113",18:55,12,0,3,4,6,0,2,2,1,12,15,13,14,3,jonathan
2024-12-03,GSW,@,DEN,"L, 115-119",28:51,18,1,2,0,2,0,5,5,2,19,26,21,24,7,jonathan
2024-12-05,GSW,,HOU,"W, 99-93",32:55,22,3,6,4,6,1,6,7,2,33,42,35,40,9,jonathan
2024-12-06,GSW,,MIN,"L, 90-107",28:38,15,1,4,0,0,1,1,2,1,13,16,14,15,3,jonathan
2024-12-08,GSW,,MIN,"W, 114-106",36:10,16,1,4,5,8,1,6,7,2,20,29,22,27,9,jonathan
2024-12-11,GSW,@,HOU,"L, 90-91",36:10,20,2,6,2,6,5,2,7,1,20,28,21,27,8,jonathan
2024-12-15,GSW,,DAL,"L, 133-143",29:42,15,2,3,0,0,2,1,3,6,20,29,26,23,9,jonathan
2024-12-19,GSW,@,MEM,"L, 93-144",27:36,12,0,2,7,10,0,4,4,2,11,17,13,15,6,jonathan
2024-12-21,GSW,@,MIN,"W, 113-103",23:27,11,2,4,3,4,0,4,4,2,11,17,13,15,6,jonathan
2024-12-23,GSW,,IND,"L, 105-111",29:51,16,2,3,6,9,4,4,8,4,26,38,30,34,12,jonathan
2024-12-25,GSW,,LAL,"L, 113-115",27:41,10,0,4,6,8,0,6,6,0,14,20,14,20,6,jonathan
2024-12-27,GSW,@,LAC,"L, 92-102",36:46,19,1,3,11,14,4,6,10,5,34,49,39,44,15,jonathan
2024-12-28,GSW,,PHO,"W, 109-105",34:27,20,2,5,8,12,5,4,9,3,34,46,37,43,12,jonathan
2024-12-30,GSW,,CLE,"L, 95-113",31:57,15,0,2,10,14,2,8,10,2,18,30,20,28,12,jonathan
2025-01-02,GSW,,PHI,"W, 139-105",25:23,11,2,3,2,3,0,5,5,5,20,30,25,25,10,jonathan
2025-01-04,GSW,,MEM,"W, 121-113",15:18,6,3,3,2,4,0,2,2,2,13,17,15,15,4,jonathan
2025-03-13,GSW,,SAC,"W, 130-104",19:55,10,0,1,4,6,0,3,3,1,18,22,19,21,4,jonathan
2025-03-15,GSW,,NYK,"W, 97-94",20:25,8,0,0,4,6,3,2,5,5,10,20,15,15,10,jonathan
2025-03-17,GSW,,DEN,"L, 105-114",27:36,11,0,2,5,8,0,3,3,4,13,20,17,16,7,jonathan
2025-03-18,GSW,,MIL,"W, 104-93",23:47,10,0,2,6,6,1,1,2,2,10,14,12,12,4,jonathan
2025-03-20,GSW,,TOR,"W, 117-114",25:15,15,1,5,1,1,0,4,4,3,16,23,19,20,7,jonathan
2025-03-22,GSW,@,ATL,"L, 115-124",21:44,14,1,4,3,3,0,2,2,2,16,20,18,18,4,jonathan
2025-03-25,GSW,@,MIA,"L, 86-112",24:49,10,1,3,6,9,0,2,2,2,15,19,17,17,4,jonathan
2025-03-28,GSW,@,NOP,"W, 111-95",22:59,9,0,2,6,8,1,7,8,3,16,27,19,24,11,jonathan
2025-03-30,GSW,@,SAS,"W, 148-106",06:34,2,0,0,2,2,0,1,1,0,4,5,4,5,1,jonathan
2025-04-03,GSW,@,LAL,"W, 123-116",25:10,12,1,3,3,5,2,7,9,4,18,31,22,27,13,jonathan
2025-04-04,GSW,,DEN,"W, 118-104",18:15,9,0,1,0,0,0,1,1,1,6,8,7,7,2,jonathan
2025-04-06,GSW,,HOU,"L, 96-106",19:29,9,1,4,0,0,1,6,7,3,9,19,12,16,10,jonathan
2025-04-08,GSW,@,PHO,"W, 133-95",21:10,9,0,2,2,2,2,1,3,3,10,16,13,13,6,jonathan
2025-04-09,GSW,,SAS,"L, 111-114",18:06,10,1,4,1,2,1,2,3,1,12,16,13,15,4,jonathan
2025-04-11,GSW,@,POR,"W, 103-86",16:54,7,0,2,6,8,1,4,5,0,10,15,10,15,5,jonathan
