Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-22,MIN,@,LAL,"L, 103-110",34:19,10,1,3,5,7,3,6,9,4,16,29,20,25,13,julius
2024-10-24,MIN,@,SAC,"W, 117-115",34:49,17,5,6,2,3,0,5,5,4,33,42,37,38,9,julius
2024-10-26,MIN,,TOR,"W, 112-101",35:50,16,1,4,5,7,3,6,9,5,24,38,29,33,14,julius
2024-10-29,MIN,,DAL,"L, 114-120",35:03,13,3,3,3,4,2,5,7,7,20,34,27,27,14,julius
2024-11-01,MIN,,DEN,"W, 119-116",36:33,13,2,5,5,5,1,5,6,7,23,36,30,29,13,julius
2024-11-02,MIN,@,SAS,"L, 103-113",29:50,15,0,3,5,6,1,4,5,2,21,28,23,26,7,julius
2024-11-04,MIN,,CHO,"W, 114-93",25:10,10,1,4,4,6,3,1,4,4,13,21,17,17,8,julius
2024-11-07,MIN,@,CHI,"W, 135-119",35:21,15,1,4,5,5,2,8,10,3,22,35,25,32,13,julius
2024-11-08,MIN,,POR,"W, 127-102",32:24,18,3,6,3,4,3,3,6,4,22,32,26,28,10,julius
2024-11-10,MIN,,MIA,"L, 94-95",35:43,16,1,6,4,4,2,4,6,6,17,29,23,23,12,julius
2024-11-12,MIN,@,POR,"L, 108-122",29:15,9,0,3,5,6,3,3,6,2,11,19,13,17,8,julius
2024-11-13,MIN,@,POR,"L, 98-106",37:04,15,1,3,5,7,3,7,10,2,20,32,22,30,12,julius
2024-11-15,MIN,@,SAC,"W, 130-126 (OT)",41:16,20,2,7,8,8,1,3,4,5,26,35,31,30,9,julius
2024-11-17,MIN,,PHO,"W, 120-117",33:52,20,5,11,8,9,1,3,4,7,35,46,42,39,11,julius
2024-11-21,MIN,@,TOR,"L, 105-110",38:26,12,1,6,12,16,1,8,9,3,23,35,26,32,12,julius
2024-11-24,MIN,@,BOS,"L, 105-107",35:48,15,1,4,8,13,2,4,6,2,23,31,25,29,8,julius
2024-11-26,MIN,,HOU,"L, 111-117 (OT)",34:39,18,0,1,3,3,2,4,6,3,21,30,24,27,9,julius
2024-11-27,MIN,,SAC,"L, 104-115",35:30,14,1,5,4,4,1,8,9,4,21,34,25,30,13,julius
2024-11-29,MIN,,LAC,"W, 93-92",30:16,9,1,5,2,2,0,10,10,4,11,25,15,21,14,julius
2024-12-02,MIN,,LAL,"W, 109-80",24:29,13,2,3,4,4,1,4,5,3,18,26,21,23,8,julius
2024-12-04,MIN,@,LAC,"W, 108-80",26:09,16,4,9,0,0,0,4,4,4,20,28,24,24,8,julius
2024-12-06,MIN,@,GSW,"W, 107-90",24:08,11,2,4,4,4,2,7,9,4,16,29,20,25,13,julius
2024-12-08,MIN,@,GSW,"L, 106-114",37:16,14,2,4,4,4,3,8,11,4,14,29,18,25,15,julius
2024-12-13,MIN,,LAL,"W, 97-87",32:39,16,0,5,7,8,2,3,5,3,21,29,24,26,8,julius
2024-12-15,MIN,@,SAS,"W, 106-92",28:30,11,0,1,3,4,2,2,4,3,11,18,14,15,7,julius
2024-12-19,MIN,,NYK,"L, 107-133",30:28,17,4,8,4,6,2,3,5,3,24,32,27,29,8,julius
2024-12-21,MIN,,GSW,"L, 103-113",32:23,13,1,3,7,9,1,6,7,6,16,29,22,23,13,julius
2024-12-23,MIN,@,ATL,"L, 104-117",35:37,15,2,7,5,6,6,7,13,7,19,39,26,32,20,julius
2024-12-25,MIN,@,DAL,"W, 105-99",34:14,13,3,5,8,10,2,8,10,8,23,41,31,33,18,julius
2024-12-27,MIN,@,HOU,"W, 113-112",36:11,16,5,6,2,2,1,7,8,8,27,43,35,35,16,julius
2024-12-29,MIN,,SAS,"W, 112-110",34:46,16,0,7,2,2,1,3,4,4,16,24,20,20,8,julius
2024-12-31,MIN,@,OKC,"L, 105-113",27:11,12,1,4,0,0,4,2,6,6,11,23,17,17,12,julius
2025-01-02,MIN,,BOS,"L, 115-118",39:10,16,5,7,4,4,2,6,8,7,27,42,34,35,15,julius
2025-01-04,MIN,@,DET,"L, 105-119",36:09,12,0,4,5,5,2,5,7,6,17,30,23,24,13,julius
2025-01-06,MIN,,LAC,"W, 108-106",23:17,10,0,3,1,2,4,2,6,2,5,13,7,11,8,julius
2025-01-07,MIN,@,NOP,"W, 104-97",35:19,11,1,4,3,5,0,6,6,3,16,25,19,22,9,julius
2025-01-09,MIN,@,ORL,"W, 104-89",30:54,16,1,3,6,6,4,6,10,2,23,35,25,33,12,julius
2025-01-11,MIN,,MEM,"L, 125-127",33:20,13,1,5,3,4,2,6,8,8,18,34,26,26,16,julius
2025-01-13,MIN,@,WAS,"W, 120-106",32:44,15,0,2,4,8,3,7,10,3,20,33,23,30,13,julius
2025-01-15,MIN,,GSW,"L, 115-116",27:24,18,1,3,0,0,4,2,6,1,17,24,18,23,7,julius
2025-01-17,MIN,@,NYK,"W, 116-99",34:30,6,0,2,4,4,2,5,7,6,8,21,14,15,13,julius
2025-01-18,MIN,,CLE,"L, 117-124",38:14,12,1,5,5,7,3,11,14,9,20,43,29,34,23,julius
2025-01-20,MIN,@,MEM,"L, 106-108",33:33,13,0,7,1,3,4,7,11,7,5,23,12,16,18,julius
2025-01-22,MIN,@,DAL,"W, 115-114",33:51,13,1,2,7,8,3,3,6,3,16,25,19,22,9,julius
2025-01-25,MIN,,DEN,"W, 133-104",32:12,20,1,6,2,2,5,2,7,7,21,35,28,28,14,julius
2025-01-27,MIN,,ATL,"W, 100-92",32:18,17,3,8,3,3,3,5,8,2,20,30,22,28,10,julius
2025-01-29,MIN,@,PHO,"W, 121-113",35:12,16,0,3,8,10,0,7,7,6,28,41,34,35,13,julius
2025-01-30,MIN,@,UTA,"W, 138-113",10:15,7,0,2,0,0,0,1,1,1,6,8,7,7,2,julius
2025-03-02,MIN,@,PHO,"W, 116-98",33:45,14,2,5,2,2,2,4,6,3,20,29,23,26,9,julius
2025-03-04,MIN,,PHI,"W, 126-112",29:38,9,0,3,6,6,3,5,8,5,16,29,21,24,13,julius
2025-03-05,MIN,@,CHO,"W, 125-110",35:34,18,2,7,7,8,4,6,10,9,25,44,34,35,19,julius
2025-03-07,MIN,@,MIA,"W, 106-104",33:34,9,0,1,5,6,1,9,10,9,13,32,22,23,19,julius
2025-03-09,MIN,,SAS,"W, 141-124",29:52,14,2,6,2,2,6,1,7,10,14,31,24,21,17,julius
2025-03-12,MIN,@,DEN,"W, 115-95",27:53,12,3,5,4,6,1,3,4,3,25,32,28,29,7,julius
2025-03-14,MIN,,ORL,"W, 118-111",28:38,13,1,3,7,8,2,5,7,5,22,34,27,29,12,julius
2025-03-16,MIN,,UTA,"W, 128-102",19:47,9,1,2,2,4,2,1,3,4,11,18,15,14,7,julius
2025-03-17,MIN,,IND,"L, 130-132 (OT)",40:37,11,1,2,6,10,1,5,6,4,17,27,21,23,10,julius
2025-03-19,MIN,,NOP,"L, 115-119",27:33,10,2,4,1,2,0,3,3,3,17,23,20,20,6,julius
2025-03-21,MIN,,NOP,"W, 134-93",25:13,11,2,5,4,4,4,2,6,5,20,31,25,26,11,julius
2025-03-24,MIN,@,IND,"L, 103-119",23:57,7,0,2,3,5,1,5,6,2,9,17,11,15,8,julius
2025-03-28,MIN,,PHO,"W, 124-109",32:03,15,2,4,5,5,1,5,6,8,25,39,33,31,14,julius
2025-03-30,MIN,,DET,"W, 123-104",32:08,18,1,4,7,7,2,6,8,5,26,39,31,34,13,julius
2025-04-01,MIN,@,DEN,"W, 140-139 (2OT)",49:30,22,4,8,0,0,2,7,9,7,26,42,33,35,16,julius
2025-04-03,MIN,@,BRK,"W, 105-90",26:55,11,3,8,0,0,2,6,8,4,11,23,15,19,12,julius
2025-04-05,MIN,@,PHI,"W, 114-109",33:06,11,0,2,5,9,2,3,5,4,15,24,19,20,9,julius
2025-04-08,MIN,@,MIL,"L, 103-110",35:08,8,1,3,2,2,1,6,7,6,9,22,15,16,13,julius
2025-04-10,MIN,@,MEM,"W, 141-125",34:43,22,5,10,0,0,1,9,10,5,31,46,36,41,15,julius
2025-04-11,MIN,,BRK,"W, 117-91",29:32,11,5,6,0,0,1,3,4,3,21,28,24,25,7,julius
2025-04-13,MIN,,UTA,"W, 116-105",32:58,11,0,3,0,0,3,7,10,5,10,25,15,20,15,julius
