Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2025-02-28,NYK,@,MEM,"W, 114-113",12:20,4,0,0,0,0,1,4,5,1,6,12,7,11,6,mitchell
2025-03-02,NYK,@,MIA,"W, 116-112 (OT)",13:15,1,0,0,0,0,2,0,2,0,2,4,2,4,2,mitchell
2025-03-04,NYK,,GSW,"L, 102-114",15:19,6,0,0,1,1,4,1,5,0,7,12,7,12,5,mitchell
2025-03-06,NYK,@,LAL,"L, 109-113 (OT)",13:03,3,0,0,2,2,2,2,4,0,6,10,6,10,4,mitchell
2025-03-10,NYK,@,SAC,"W, 133-104",15:54,1,0,0,0,0,2,3,5,1,2,8,3,7,6,mitchell
2025-03-12,NYK,@,POR,"W, 114-113 (OT)",18:46,1,0,0,1,2,3,1,4,1,3,8,4,7,5,mitchell
2025-03-15,NYK,@,GSW,"L, 94-97",16:22,3,0,0,0,0,3,2,5,0,2,7,2,7,5,mitchell
2025-03-17,NYK,,MIA,"W, 116-95",23:44,7,0,0,0,0,5,4,9,1,10,20,11,19,10,mitchell
2025-03-19,NYK,@,SAS,"L, 105-120",17:14,6,0,0,3,6,5,6,11,0,13,24,13,24,11,mitchell
2025-03-22,NYK,,WAS,"W, 122-103",17:22,3,0,0,0,0,3,2,5,1,4,10,5,9,6,mitchell
2025-03-26,NYK,,LAC,"L, 113-126",12:47,0,0,0,0,0,0,2,2,1,0,3,1,2,3,mitchell
2025-03-28,NYK,@,MIL,"W, 116-107",18:03,2,0,0,0,0,4,6,10,1,2,13,3,12,11,mitchell
2025-03-30,NYK,,POR,"W, 110-93",14:00,1,0,0,0,0,1,3,4,2,2,8,4,6,6,mitchell
2025-04-01,NYK,,PHI,"W, 105-91",20:44,9,0,0,4,4,7,7,14,0,14,28,14,28,14,mitchell
2025-04-06,NYK,,PHO,"W, 112-98",12:43,2,0,0,0,0,1,1,2,1,2,5,3,4,3,mitchell
2025-04-08,NYK,,BOS,"L, 117-119 (OT)",15:44,3,0,0,0,0,4,3,7,1,4,12,5,11,8,mitchell
2025-04-11,NYK,,CLE,"L, 102-108",32:48,4,0,0,2,4,5,2,7,2,8,17,10,15,9,mitchell
