Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-11-12,PHI,,NYK,"L, 99-111",26:25,11,1,5,8,8,1,2,3,5,13,21,18,16,8,joel
2024-11-15,PHI,@,ORL,"L, 86-98",32:44,15,0,5,10,10,1,7,8,2,20,30,22,28,10,joel
2024-11-18,PHI,@,MIA,"L, 89-106",31:12,11,1,3,0,0,1,7,8,5,11,24,16,19,13,joel
2024-11-20,PHI,@,MEM,"L, 111-117",35:04,21,1,5,14,14,2,9,11,2,35,48,37,46,13,joel
2024-12-08,PHI,@,CHI,"W, 108-100",32:53,28,0,5,5,6,3,9,12,4,31,47,35,43,16,joel
2024-12-13,PHI,,IND,"L, 107-121",17:28,9,1,2,3,4,1,3,4,5,12,21,17,16,9,joel
2024-12-20,PHI,,CHO,"W, 108-98",31:29,24,2,4,8,9,3,2,5,9,34,48,43,39,14,joel
2024-12-23,PHI,,SAS,"W, 111-106",14:22,8,1,4,4,4,0,3,3,1,9,13,10,12,4,joel
2024-12-25,PHI,@,BOS,"W, 118-114",30:45,15,4,5,7,7,1,8,9,2,27,38,29,36,11,joel
2024-12-28,PHI,@,UTA,"W, 114-111",34:39,21,1,4,11,13,2,3,5,4,32,41,36,37,9,joel
2024-12-30,PHI,@,POR,"W, 125-103",35:38,21,1,1,12,13,3,6,9,3,37,49,40,46,12,joel
2025-01-02,PHI,@,GSW,"L, 105-139",30:58,19,1,3,11,14,3,11,14,2,28,44,30,42,16,joel
2025-01-04,PHI,@,BRK,"W, 123-94",28:58,16,2,3,10,10,1,11,12,6,28,46,34,40,18,joel
2025-02-04,PHI,,DAL,"W, 118-116",36:01,23,1,4,4,9,4,7,11,10,29,50,39,40,21,joel
2025-02-07,PHI,@,DET,"L, 112-125",29:48,18,1,4,8,10,0,7,7,6,23,36,29,30,13,joel
2025-02-09,PHI,@,MIL,"L, 127-135",29:38,14,4,7,9,10,2,10,12,6,27,45,33,39,18,joel
2025-02-11,PHI,,TOR,"L, 103-106",38:01,19,1,5,10,13,5,7,12,4,27,43,31,39,16,joel
2025-02-20,PHI,,BOS,"L, 104-124",27:02,9,0,2,9,9,1,2,3,4,15,22,19,18,7,joel
2025-02-22,PHI,,BRK,"L, 103-105",31:18,13,0,6,6,6,2,5,7,5,14,26,19,21,12,joel
