Date,Team,Where,Opp,Result,MP,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,PTS,PAR,PA,PR,AR,name
2024-10-23,PHI,,MIL,"L, 109-124",30:25,18,1,6,4,6,1,1,2,1,21,24,22,23,3,kelly
2024-10-25,PHI,@,TOR,"L, 107-115",39:08,17,3,6,7,8,0,2,2,2,28,32,30,30,4,kelly
2024-10-27,PHI,@,IND,"W, 118-114 (OT)",37:54,18,0,4,2,3,3,5,8,0,14,22,14,22,8,kelly
2024-10-30,PHI,,DET,"L, 95-105",30:54,14,2,6,1,2,2,5,7,1,13,21,14,20,8,kelly
2024-11-02,PHI,,MEM,"L, 107-124",27:15,15,4,10,0,0,1,3,4,0,14,18,14,18,4,kelly
2024-11-04,PHI,@,PHO,"L, 116-118",32:29,10,1,5,2,2,1,3,4,1,11,16,12,15,5,kelly
2024-11-06,PHI,@,LAC,"L, 98-110",24:35,12,1,3,1,1,0,2,2,3,18,23,21,20,5,kelly
2024-11-08,PHI,@,LAL,"L, 106-116",30:20,16,0,4,1,2,3,3,6,2,9,17,11,15,8,kelly
2024-11-10,PHI,,CHO,"W, 107-105 (OT)",31:41,10,0,3,2,4,2,3,5,3,8,16,11,13,8,kelly
2024-11-12,PHI,,NYK,"L, 99-111",28:38,6,0,2,3,3,1,5,6,1,5,12,6,11,7,kelly
2024-11-13,PHI,,CLE,"L, 106-114",33:42,14,2,5,2,2,2,4,6,0,20,26,20,26,6,kelly
2024-11-15,PHI,@,ORL,"L, 86-98",25:32,4,1,2,0,0,1,3,4,0,5,9,5,9,4,kelly
2024-11-18,PHI,@,MIA,"L, 89-106",26:39,8,1,4,1,1,0,5,5,1,8,14,9,13,6,kelly
2024-11-20,PHI,@,MEM,"L, 111-117",22:45,5,1,2,0,0,1,4,5,1,7,13,8,12,6,kelly
2024-11-22,PHI,,BRK,"W, 113-98",25:37,8,1,3,2,2,5,4,9,3,11,23,14,20,12,kelly
2024-11-24,PHI,,LAC,"L, 99-125",30:47,11,0,4,0,0,2,3,5,3,12,20,15,17,8,kelly
2024-11-27,PHI,,HOU,"L, 115-122 (OT)",45:20,12,0,5,1,2,1,4,5,1,11,17,12,16,6,kelly
2024-11-30,PHI,@,DET,"W, 111-96",30:51,11,2,5,0,0,2,4,6,1,14,21,15,20,7,kelly
2024-12-03,PHI,@,CHO,"W, 110-104",29:09,8,4,5,0,0,1,1,2,0,14,16,14,16,2,kelly
2024-12-04,PHI,,ORL,"L, 102-106",34:48,10,4,7,1,2,0,4,4,5,15,24,20,19,9,kelly
2024-12-06,PHI,,ORL,"W, 102-94",34:52,10,1,3,2,4,1,9,10,0,13,23,13,23,10,kelly
2024-12-08,PHI,@,CHI,"W, 108-100",37:47,6,2,3,4,4,3,7,10,1,12,23,13,22,11,kelly
2024-12-13,PHI,,IND,"L, 107-121",34:02,13,0,3,0,0,4,9,13,3,12,28,15,25,16,kelly
2024-12-16,PHI,@,CHO,"W, 121-108",39:46,11,1,4,4,6,3,6,9,4,19,32,23,28,13,kelly
2024-12-20,PHI,,CHO,"W, 108-98",38:58,10,4,6,2,3,1,4,5,2,22,29,24,27,7,kelly
2024-12-21,PHI,@,CLE,"L, 99-126",27:17,11,1,5,2,5,2,3,5,0,9,14,9,14,5,kelly
2024-12-23,PHI,,SAS,"W, 111-106",35:37,12,0,6,2,3,1,5,6,1,10,17,11,16,7,kelly
2024-12-25,PHI,@,BOS,"W, 118-114",38:29,6,0,2,0,0,0,8,8,2,4,14,6,12,10,kelly
2024-12-28,PHI,@,UTA,"W, 114-111",30:37,7,0,3,3,4,1,1,2,2,9,13,11,11,4,kelly
2024-12-30,PHI,@,POR,"W, 125-103",36:44,10,0,3,3,3,2,3,5,2,15,22,17,20,7,kelly
2025-01-06,PHI,,PHO,"L, 99-109",38:17,18,1,4,7,9,3,8,11,1,26,38,27,37,12,kelly
2025-01-08,PHI,,WAS,"W, 109-103",38:20,14,1,6,0,0,1,3,4,4,15,23,19,19,8,kelly
2025-01-10,PHI,,NOP,"L, 115-123",38:53,18,2,5,5,7,4,3,7,1,21,29,22,28,8,kelly
2025-01-12,PHI,@,ORL,"L, 99-104",34:37,11,0,2,2,2,1,3,4,1,12,17,13,16,5,kelly
2025-01-14,PHI,,OKC,"L, 102-118",29:54,10,0,4,4,5,1,3,4,2,8,14,10,12,6,kelly
2025-01-15,PHI,,NYK,"L, 119-125 (OT)",45:24,11,1,3,1,1,1,9,10,1,16,27,17,26,11,kelly
2025-01-18,PHI,@,IND,"L, 102-115",38:39,13,3,6,3,4,1,7,8,3,18,29,21,26,11,kelly
2025-01-19,PHI,@,MIL,"L, 109-123",38:43,14,2,5,3,3,1,5,6,3,19,28,22,25,9,kelly
2025-01-21,PHI,@,DEN,"L, 109-144",27:00,9,0,2,0,0,0,3,3,2,8,13,10,11,5,kelly
2025-01-24,PHI,,CLE,"W, 132-129",39:08,16,1,3,5,5,7,6,13,3,22,38,25,35,16,kelly
2025-01-25,PHI,@,CHI,"W, 109-97",36:42,18,2,5,2,5,1,11,12,3,22,37,25,34,15,kelly
2025-01-28,PHI,,LAL,"W, 118-104",39:02,18,0,5,4,4,2,6,8,5,20,33,25,28,13,kelly
2025-01-29,PHI,,SAC,"W, 117-104",36:53,12,1,2,2,3,0,6,6,3,15,24,18,21,9,kelly
2025-01-31,PHI,,DEN,"L, 134-137",40:53,16,2,4,7,7,3,4,7,5,27,39,32,34,12,kelly
2025-02-02,PHI,,BOS,"L, 110-118",43:43,17,2,3,4,8,1,12,13,2,18,33,20,31,15,kelly
2025-02-04,PHI,,DAL,"W, 118-116",40:44,9,1,3,0,0,1,5,6,3,9,18,12,15,9,kelly
2025-02-05,PHI,,MIA,"L, 101-108",40:17,16,1,5,2,4,3,8,11,0,15,26,15,26,11,kelly
2025-02-07,PHI,@,DET,"L, 112-125",35:53,11,0,1,0,0,2,9,11,2,14,27,16,25,13,kelly
2025-02-09,PHI,@,MIL,"L, 127-135",36:30,11,0,3,0,0,2,3,5,1,10,16,11,15,6,kelly
2025-02-11,PHI,,TOR,"L, 103-106",38:55,12,0,2,0,0,1,6,7,3,12,22,15,19,10,kelly
2025-02-12,PHI,@,BRK,"L, 96-100",39:22,16,2,3,8,8,0,3,3,0,30,33,30,33,3,kelly
2025-02-20,PHI,,BOS,"L, 104-124",34:51,14,1,6,3,3,1,3,4,0,16,20,16,20,4,kelly
2025-02-22,PHI,,BRK,"L, 103-105",37:36,16,0,3,0,0,3,2,5,1,14,20,15,19,6,kelly
2025-02-24,PHI,,CHI,"L, 110-142",33:10,13,0,3,5,6,3,5,8,1,19,28,20,27,9,kelly
2025-02-26,PHI,@,NYK,"L, 105-110",41:47,14,4,6,5,6,1,4,5,1,27,33,28,32,6,kelly
2025-03-01,PHI,,GSW,"W, 126-119",41:44,13,3,6,5,7,1,1,2,1,20,23,21,22,3,kelly
2025-03-04,PHI,@,MIN,"L, 112-126",39:35,19,1,4,1,3,1,2,3,2,24,29,26,27,5,kelly
2025-03-06,PHI,@,BOS,"L, 105-123",33:51,20,3,5,6,7,2,3,5,6,27,38,33,32,11,kelly
2025-03-09,PHI,,UTA,"W, 126-122",19:35,7,0,2,0,0,0,2,2,2,6,10,8,8,4,kelly
2025-03-12,PHI,@,TOR,"L, 105-118",25:32,12,0,2,3,6,2,3,5,0,13,18,13,18,5,kelly
